sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-3.068;1.578;8.375;-3.292;1.827;9.055;0.223;-0.249;-0.68;-0.481;1.996;-0.14;421.0;-9.1;9.6;4.5;43.0;-13.5;14.0;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;5.3;44.04194;200.0;8 / 22;25;2019-02-26 07:38:10:003
-3.524;-1.459;9.085;-3.093;-0.528;9.291;-0.431;-0.932;-0.206;0.509;0.142;0.121;498.0;4.9;25.4;36.4;326.1;2.3;21.2;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;8.8;44.04194;181.7;8 / 22;526;2019-02-26 07:38:10:504
-3.588;-1.119;9.395;-3.468;-0.365;9.166;-0.12;-0.754;0.229;-0.156;0.828;0.756;432.0;-6.1;7.1;32.8;337.9;0.4;15.3;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;8.8;44.04194;181.7;8 / 22;1025;2019-02-26 07:38:11:003
-0.553;1.144;10.077;-0.846;1.139;9.704;0.293;0.006;0.374;0.374;-0.33;0.12;432.0;-7.4;-4.8;7.3;135.1;-5.1;10.0;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;9.9;44.04194;177.2;8 / 22;1526;2019-02-26 07:38:11:504
-1.101;2.665;9.012;-0.791;2.117;9.543;-0.31;0.547;-0.531;0.302;-0.004;-0.228;446.0;-5.3;-10.1;8.0;158.9;-10.4;4.4;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;9.9;44.04194;177.2;8 / 22;2025;2019-02-26 07:38:12:003
-1.235;2.957;8.806;-1.116;2.922;9.294;-0.119;0.035;-0.489;-0.17;0.044;-0.098;456.0;-5.6;-3.0;16.9;154.2;-17.4;6.9;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;11.1;44.04194;178.9;8 / 22;2526;2019-02-26 07:38:12:504
-0.836;1.996;10.285;-0.851;2.268;9.503;0.66;0.177;-0.199;0.015;-0.177;-0.153;576.0;-9.1;0.0;13.3;112.2;-13.4;5.1;3.0;1006.3;35.64;42.10507;-87.84013;512.9;NaN;;11.1;44.04194;178.9;8 / 22;3025;2019-02-26 07:38:13:003
0.086;2.342;9.984;-0.685;2.204;9.531;0.771;0.138;0.453;-0.079;-0.092;0.173;583.0;-11.3;3.0;14.3;94.2;-14.0;5.5;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;11.4;44.04194;176.6;8 / 22;3525;2019-02-26 07:38:13:503
-0.43;2.037;9.586;-0.552;2.01;9.582;0.122;0.027;0.004;-0.148;0.045;-0.12;610.0;-12.5;2.0;11.8;93.5;-12.2;2.8;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;11.4;44.04194;176.6;8 / 22;4026;2019-02-26 07:38:14:004
-0.315;1.397;9.553;-0.556;1.655;9.65;0.242;-0.258;-0.097;0.057;0.191;-0.175;665.0;-12.7;3.1;11.6;87.2;-10.7;3.3;3.0;1006.3;35.64;42.10507;-87.84013;516.1;NaN;;15.5;44.04194;174.5;8 / 22;4525;2019-02-26 07:38:14:503
