linkId,refnodeid,nrefnodeid,linklength,shapepoints
1221130836,946839792,1158658644,100.13,41.90879:-87.76708|41.90879:-87.76587
19808058,32008569,32008570,201.346,41.90384:-87.77295|41.90565:-87.77302
719548864,807566048,32041307,56.734,41.89782:-87.70662|41.89833:-87.70664
1160242523,1120715236,966519627,52.133,41.9241:-87.75833|41.92411:-87.7577
721216473,808763502,32053702,53.824,41.8674:-87.62478|41.8674:-87.62456|41.8674:-87.62413
727965182,813241105,813449070,10.763,41.87591:-87.62219|41.87591:-87.62206
19812628,32051647,32051653,96.883,41.88422:-87.65559|41.88424:-87.65442
19812653,32051650,32051652,96.864,41.88415:-87.65442|41.88416:-87.65325
19810461,32050703,32050704,103.441,41.8933:-87.66963|41.89423:-87.66966
1169222385,1126362240,32050887,27.335,41.89974:-87.66527|41.89975:-87.66494
722336700,32051059,809569035,128.207,41.90067:-87.65669|41.90095:-87.6567|41.90116:-87.6567|41.9013:-87.65674|41.90145:-87.65679|41.9016:-87.65688|41.90178:-87.657
19812681,32050802,32050809,151.561,41.88405:-87.66063|41.88409:-87.6588
721082347,32050712,808677067,34.48,41.89514:-87.66728|41.89545:-87.66729
916098216,946863124,946863126,49.677,41.89152:-87.65579|41.89153:-87.65519
806702028,868824579,32050907,13.244,41.89105:-87.65914|41.89105:-87.65903|41.89105:-87.65898
915776530,946649682,32050816,28.923,41.88383:-87.65766|41.88409:-87.65767
947145266,969021160,32038377,111.207,41.85793:-87.72004|41.85893:-87.72006
19816488,32007183,32007289,101.13,41.86156:-87.78996|41.8616:-87.78874
916885240,32048487,947368254,145.786,41.85409:-87.66853|41.85411:-87.66677
125161349,32007299,305444564,105.664,41.85984:-87.7838|41.86079:-87.78383
19816613,32007321,32007322,202.39,41.85988:-87.78132|41.8617:-87.78135
19815222,32007257,32007258,104.806,41.87255:-87.7915|41.87264:-87.79276
1007567088,1014252863,32007367,50.555,41.87442:-87.78612|41.87444:-87.78551
1157643525,32007316,1119112354,50.065,41.86713:-87.78401|41.86758:-87.78403
718048819,32053393,806547147,170.217,41.85625:-87.62073|41.85626:-87.62026|41.85744:-87.62031
776343035,32053135,847094066,22.546,41.84776:-87.62653|41.84782:-87.62627
125158458,32041375,305433942,93.578,41.90271:-87.71654|41.90274:-87.71541
